normalperson wj225|See: Batshua
reflux _Secret| Reflux - Development Application that generates high speed network assembly code for development under ANY os or platform.  The Asm code is "Virtual Asm" Which polymorphs to the enviroment that it is currently executing under (http://www.2realentertainment.com/reflux.html)
crystal OrngeTide|Crystal Space. a portable 3D engine for OpenGL and Direct3D. for linux, windows and other OSes. http://crystal.linuxgames.com
celcius Triffid|scale=2; (f-32)/1.8
fahrenheit Triffid|scale=2; c*1.8+32
shutup Aegis| Nobody want's to hear it. Nobody want's to be afflicted by your version of reality, So please shut up.
spam callas|Thou shalt not spam #c!
User Setz|User Friendly the Comic Strip: http://www.userfriendly.org/cartoons
31337 Gambit-|Ay3 g0tZ M4dd 0-d4Yz 3Lf-d0cz f0R tr4d, d3WdZ!
nslad Setz|NSLOOKUP Adventure!: nslookup - hastur.rlyeh.net <enter> set querytype=txt <enter> set domain=adventure <enter> 1 <enter>
pottymouth Tybstar|No cursing/swearing/dirty-talking/foul-mouthing. This is a family channel!
sneeze OrngeTide|AAAAACHOOOOO! I'm allergic to idiots!
nsn Gambit-|Next Step Network - New Internet pager like ICQ & AIM going down. Visit http://nsn.veloweb.com
motif-tute megaton|http://www.cen.com/mw3 This is a really good motif programming tutorial, and also an excellent link to the lesstif project, which is a noncommercial package that is quite compatible with motif 2.0
Myrdraal ponn|<Myrdraal> I don't have one.
guru Ape|Anyone who comes in here asking for a Unix guru, doesn't need one. Just ask your silly linux question to the channel.
msdn Gambit-|MSDN = MicroSoft Developer Network (http://msdn.microsoft.com)
twip Gambit-|A twip is 1/1440 of an inch, or 1/20 of a printer's point.
nibble SNIBRIL|Please don't nibble on ops without their consent.
blah blahh|blah
? Para-dox|The quick if type operator. expr ? iftrue : iffalse;
% Para-dox|mod operator (remainder). ex. 10 % 3 = 1
&& Para-dox|Logical AND.. examples: 10 && 0 == 0 , 1 && 2 == 1, 0 && 1 = 0... & alone can be BITWISE AND, example: 255 & 64 = 64 , 123 & 456 = 72
boss wawb|"A year ago I answered an ad that said 'Be your own boss' Now I can't help but see myself as a stupid, arrogant jackass who's trying to make my life miserable." -- Bizarro
warez megaton|Get your 31337 w4r3z at ftp://warez.cscene.org or ftp://warez.spartaschools.org   login and password are the same as your already hacked account.
SMD SNIBRIL|Surface Mounted Device; or Suck My Dick!
sedgewick++ SNIBRIL|Robert Sedgewick,  Algorithms in C++ . Addison-Wesley, 1992, ISBN 0-201-51059-6.
asmbooks Gambit-|For x86 asm books, I recommend, "Revolutionary Assembler", and "Masterclass Assembler". The latter is protected mode programming, and advanced apps, etc.
1+1 Tybstar|Go get a calculator!
msgme OrngeTide|People in #C have a tendency to be too lazy to be your private tutor.
scheisse SNIBRIL|Jeff Z's Site Full o' Crap Teaches You How to Swear in German! - http://www.eat-germany.net/crap/dirtcrap.htm
quiz SNIBRIL|This is not a quiz show. So do not ask what is wrong with your code, tell us what your compiler says about it!
gigo Gambit-|GIGO: Garbage In, Garbage Out.
%c Para-dox|single character
%p Para-dox|pointer (hex)
%d Para-dox|Signed decimal number
%u Para-dox|Unsigned decimal number
%e Para-dox|Float/Double in scientific form
void Para-dox|Its where all variables end up after you exit main
winbooks Gambit-|Required Reading: Programming Windows 95 w/ MFC, by Prosise.  Programming Windows 95, by Petzold.  Adv. Windows Programming, by Richter.
%s Para-dox|printf/scanf family format specify for string (null terminated array of char's)
Stupidity _Secret|[18:58] <mattt> hburst: stop using VB                                                              [18:59] <hburst> mattt what do you mean?
bold_colon Gambit-|Bold, underline, highlighted, italicized, and otherwise attributed colons, commas, semicolons, and other punctuations and characters are rough on the eyes on somefolks terms, annoying on others, so please DO NOT USE THEM ...this is your last warning -- BitchX'ers type: /set format_nick_comp $0:$1-  mIRC'ers type: /remote off
#c-rules _Secret|#1 - No asking C questions, you will be banned.  #2 - You must always type all cap sentences and use numbers in place of letters if you want to be eleet like us.  #3 - Always spam and act like an ass, and you must run Linux.  #4 - Anyone who isn't spoofing will be banned.  #5 - Always state what nuker you are using BEFORE you ask a question. #6 - You must be running as ROOT or you will be banned.  #7 - All rules apply to everyone except OP
grrl Gambit-|Grrl: Geek girl, a rare and seldom seen species.  If you find one, she's worth just about anything.
no Gambit-|Not just no, but HELL no.
operators Gambit-|Operator precedence from highest to lowest: ++(post) --(post) () [] -> :: .    ! ~ ++ -- unary- unary* unary& sizeof new delete typeid (casts)    .* ->*    * / %    + -    <<  >>    < <= > >=    ==    & ^    |    &&    ||    ?:    =  +=  -=  *=  /=  %=  >>=  <<=  &=  ^=  |=  ,
filefind Gambit-|find . -name "*.<str>" -print > ~/<tmp>
ne1 OrngeTide|excesive abreviations of words like 'ne1', 'u', 'r', and 'some1' tend to decrease readability. Although occational abbreviations like 'l8r' tends to work okay.
vanity Tybstar|<MaskNMI> ow....I think I put too much hairspray on, my hair is chaffing my ear...
mind Gambit-|Cripes! Has everyone lost thier mind? Brains turned to marshmellow? You're a bunch of flippin' idiots! Is there a single human here, or is everyone a blinken' cabbage?
question Aegis|What is 6*9?
multicast Gambit-|Multicast Tech: http://www.kohala.com/~rstevens/mcast.api.txt
woman Gambit-|Woman's Creed:  Men are like linolium.  Lay them right the first time, and you can walk on them the rest of your life.
auto-away Gambit-|Disable Your Away Messages To The Channel In BitchX: /set SEND_AWAY_MSG OFF
bill_g Perly|http://www.xnet.com/~jph/pix/billy.jpg
intlist Gambit-|Ralf Brown's Interrupt List http://www.cs.cmu.edu/afs/cs.cmu.edu/user/ralf/pub/WWW/files.html or http://www.ctyme.com/rbrown.htm
ralf Gambit-|Ralf Brown Interrupt list is the largest collection of interrupts around -- get it via http://www.cs.cmu.edu/afs/cs/user/ralf/pub/WWW/files.html or http://www.ctyme.com/rbrown.htm
getabook Para-dox|Logoff IRC, turn off monitor, goto book store, browse, grab book, pay (important, do not skip), travel back to your dwelling, open book, read (very important too).
vile _Vile|idle? whats that.
atdq Tybstar|Ask the darn question already!
Dianora Dianora|You are likely using a server she coded.
microcode Aegis|microcode: A buzzword that doesn't really mean anything.  Is it machine code, assembler, or is it pseudocode ?
hello_world Perly|Check out http://www.latech.edu/~acm/HelloWorld.shtml for a bunch of "Hello World" programs in many different programming languages.
mesa Xgc|Mesa - ftp://iris.ssec.wisc.edu/pub/Mesa
glut Xgc|GLUT - http://reality.sgi.com/opengl/glut3/glut3.html
bofh Gambit-|http://www.iinet.net.au/~bofh/ for the large collection...  See http://www.networkweek.com/bofh for a monthly...  See Gambit- for a personal demonstration.
***LIST_TRUNCATED*** alyshia|see ***LIST_TRUNCATED_AT_25***
unixwars Gambit-|http://www.insecure.org/stf/unixwars.txt
nt_trouble Gambit-|If you have boot troubles, use this: http://www.winimage.com/bootpart.htm
nullmodem Gambit-|Win95->WinNT via Null-modem @ http://www.cs.purdue.edu/homes/kime/directcc/directcc.htm
Gambit- Gambit-|-><- Knight of Amber.  21st Century Digital Boy.  Psychohazard and professional chaotician.  Handle with care.  Shake before opening.  Feed to small children.  Best if used after today.
uolinux OrngeTide|Ultima Online for linux [unsupported] ftp://leper.owo.com/pub/uo
prayer Gambit-|Lord, grant me the serenity to accept the things I can not change, the courage to change the things I can, and the wisdom to hide the bodies of those I had to kill because they pissed me off.
cookie Gambit-|Found in a fortune cookie:  You foolishly seek advice from bakery products.
aanswer Gambit-|Sex is not the answer. Sex is the question. Yes is the answer.
sex Gambit-|Sex is like a bridge game: If you don't have a good partner, you better have a good hand.
deep Gambit-|I thought, therefor I was.
y! Gambit-|Why not?
sarcasm Triffid|Linux owns me.
foo OrngeTide|bar
mac Gambit-|<ShockTart> Useful Acronym #7: MACINTOSH - Most Applications Crash, If Not, The Operating System Hangs
pcmcia Gambit-|PCMCIA: People Can't Memorize Computer Industry Anacronyms.
GambitsNT Gambit-|42 hours 1 minute record uptime.
xnest OrngeTide|X11 display server that uses an X window on another server, rather than a videocard to display X clients.
iqtest kage`|http://cech.cesnet.cz/IQ/IQ-test-e.html
masochism Triffid|<noss> good, it didn't work
grumpy_day SNIBRIL|Mon Nov 23 22:52:53 CET 1998
no_deref Ape|Be sure to include all the header files that are needed to fully define the structure your pointer is pointing to.
k&r alyshia|Brian W. Kernighan, Dennis M. Ritchie, The C Programming Language, Prentice Hall, 1988, 2nd edition, ISBN 0-13-110362-8.
gnu alyshia|GNU's Not Unix <http://www.fsf.org.>
gerbil ThaDragon|See "BugLord"
buglord ThaDragon|ln -s a_cloo.c buglord
philosophy2 wawb|Three cowboys were discussing which of them was the manliest. The first described in detail how he wrestled to the ground a bull which had thrown six men. The second described in great detail how, when attacked by a giant rattle snake, he'd ripped off the snake's head and drank the poison. The third sat quiet, slowly stirring the fire with his penis.
smurf Dianora|<a href="http://www.quadrunner.com/~chuegen/smurf.html">
streams wawb|http://www.pdc.kth.se/doc/fujitsu/manuals/C/strm/index.htm
lvalue Para-dox|lvalue = rvalue; // lvalue must be a variable or otherwise someplace to put the data of rvalue
rvalue Para-dox|lvalue = rvalue; // lvalue must be a variable or otherwise someplace to put the data of rvalue
splitfire Tybstar|Good no-nonsense ircii-epic script: http://www.innerx.net/~nuke
printb SNIBRIL|void printb(unsigned num) { unsigned mask = 1 << (CHAR_BIT * sizeof num - 1); while (mask) { putchar("10"[!(num&mask)]); mask >>= 1; } }
irw Dianora|EFnet is no longer IRC, its IRW Internet Relay War, not Chat
asterisk Glammie|Nathan Hale - "I regret that I have one ass to risk for my nation."
believe dhartmei|What is wanted is not the will to believe, but the will to find out, which is the exact opposite. -- Bertrand Russell
english Tybstar|English is suck.
xloser OrngeTide|L.O.S.E.R. Corps : multiplayer networked 2d sidescroller with GREAT graphics. for svgalib, X, and msdos. (GPL'd) http://www.ime.usp.br/~massaro/loser/
sockets.faq Gambit-|http://www.auroraonline.com/sock-faq/ (BSD Sockets FAQ List) [BROKEN]
swig SNIBRIL|Simplified Wrapper Interface Generator, a universal scripting interface - http://www.swig.org/
cats SaintN|All wawbs must die! --> -|-{>8[]}-|- <-- wawb in a blender
gamasutra OrngeTide|http://www.gamasutra.com/ An interesting game programming magazine.
happy Gambit-|<enkil^> "if you're happy and you know it give me head!... if you're happy and you know it give me HEAD! if you're happy and you know it and you really want to blow it, if you're happy and you know it give me head!"
prize Gambit-|Congratulation!  We, the patrons of #C, have recognized your initiative and determination.  Because you have displayed such unusual qualities for a #C transient, we would like to award you an official "_Kage sEx d0Ll" for your enjoyment.
botabuse OrngeTide|Don't use me to seek your own ends.
stable glamdring|Stable, n.: A building to keep horses in.
rap Gambit-|<N3mo> "Rap is to music as Etch-A-Sketch is to art."- Anon
ipv6-book callas|= "Ipv6 : The New Internet Protocol", 2nd Edition, Christian Huitema, Paperback, 250 pages, Prentice Hall, November 1997, ISBN: 0138505055
NTstable SaintN|NT is stable, if you don't do anything with it.
ramble megaton|try to phrase your ramblings into a *question*
pos Gambit-|POS: Piece Of Shit
fgets OrngeTide|"but when I use fgets it gives me the error 'not enough parameters'."
-lm megaton|-lm is a command line option you must use if you wish to link the math library into your program.
underline Gambit-|is worse.
ai_ blahh|When we write programs that "learn", it turns out we do and they don't.
mypow Para-dox|long mypow(long b, unsigned long exp) { long s; if (exp == 0) return 1; s = mypow(b, exp/2); return s*s*((exp%2) ? b : 1); }
foobar buttmunch|See "fubar"
OSS Ape|http://www.opensource.org (imagine that!)
dork Dianora|Someone who refuses to look up man pages, which would take 5 minutes, and instead fires up irc to annoy people taking 15 minutes.
really SNIBRIL|DORK: "Do you really mean what you said?" ... #C OP: "YES, WE DO!"
intrusive Setz|Intrusive lists vs non-intrusive: http://www.codefarms.com/publications/intrusiv/intr.htm
advanced-data-types ThaDragon|http://www.csi.uottawa.ca/~holte/
opensource _Vile|http://www.netpedia.net -- Open Source Developers Only. Free hosting here.
recursion Teckla|To iterate is human; to recurse, divine.
completely_optional flub|see hw
extra_credit flub|see completely_optional
shit flub|see microsoft
pckit OrngeTide|electronics kits for your PC (as well as tutorials on PC hardware). http://www.ctv.es/pckits/home.html
